Paper_id,title,year published,domain,task_type,human_hypothesis,human_systems_compared,human_dataset,human_subjects,human_materials,human_procedure,human_metrics,human_limitations,,,,,,,,,,,,,,,,,,
P_01,"Design of agricultural question
answering information extraction
method based on improved
BILSTM algorithm",2024,Agriculture QA,LLM Based QA,The Hypothesi the researcher were testing: For example: The BE-BILSTM model improves agricultural information extraction performance over BiLSTM and BERT-CRF.,Model or systems evaluated in the original paper. For example: BE-BILSTM,"Dataset used in the paper: size, source, label, anontation method, train/test split. ","Did the researcher used human evaluators? like farmers, experts, crowd workers, etc.",Material used during evaluation.,Step-by-step method used in the paper’s evaluation,Metrics used to evaluate performances. ,Limitations or weaknesses acknowledged or observed:,,,,,,,,,,,,,,,,,,
P_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
